,story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word,word_onset
114,lw1,0.0,0.0,word,7.2,stimuli/audio/lw1_0.wav,30.706,0.2099999999999999,2000-01-01 00:00:00+00:00,,1.0,sentence,3.0,205.0,Allison,1.0,breeze,True
119,lw1,0.0,0.0,word,7.41,stimuli/audio/lw1_0.wav,30.916,0.1200000000000001,2000-01-01 00:00:00+00:00,,1.0,sentence,4.0,205.0,Allison,1.0,of,True
122,lw1,0.0,0.0,word,7.53,stimuli/audio/lw1_0.wav,31.036,0.4100000000000001,2000-01-01 00:00:00+00:00,,1.0,sentence,5.0,205.0,Allison,1.0,recycled,True
131,lw1,0.0,0.0,word,7.97,stimuli/audio/lw1_0.wav,31.476,0.160000000000001,2000-01-01 00:00:00+00:00,,1.0,sentence,6.0,205.0,Allison,1.0,air,True
134,lw1,0.0,0.0,word,8.13,stimuli/audio/lw1_0.wav,31.636,0.1599999999999983,2000-01-01 00:00:00+00:00,,1.0,sentence,7.0,205.0,Allison,1.0,from,True
138,lw1,0.0,0.0,word,8.29,stimuli/audio/lw1_0.wav,31.796,0.0900000000000016,2000-01-01 00:00:00+00:00,,1.0,sentence,8.0,205.0,Allison,1.0,the,True
141,lw1,0.0,0.0,word,8.38,stimuli/audio/lw1_0.wav,31.886,0.2399999999999984,2000-01-01 00:00:00+00:00,,1.0,sentence,9.0,205.0,Allison,1.0,vent,True
146,lw1,0.0,0.0,word,8.62,stimuli/audio/lw1_0.wav,32.126,0.200000000000001,2000-01-01 00:00:00+00:00,,1.0,sentence,10.0,205.0,Allison,1.0,above,True
151,lw1,0.0,0.0,word,8.83,stimuli/audio/lw1_0.wav,32.336,0.1999999999999993,2000-01-01 00:00:00+00:00,,1.0,sentence,11.0,205.0,Allison,1.0,blew,True
155,lw1,0.0,0.0,word,9.03,stimuli/audio/lw1_0.wav,32.536,0.1100000000000012,2000-01-01 00:00:00+00:00,,1.0,sentence,12.0,205.0,Allison,1.0,an,True
158,lw1,0.0,0.0,word,9.139999,stimuli/audio/lw1_0.wav,32.646,0.3900000000000005,2000-01-01 00:00:00+00:00,,1.0,sentence,13.0,205.0,Allison,1.0,annoying,True
164,lw1,0.0,0.0,word,9.53,stimuli/audio/lw1_0.wav,33.036,0.1699999999999999,2000-01-01 00:00:00+00:00,,1.0,sentence,14.0,205.0,Allison,1.0,hair,True
168,lw1,0.0,0.0,word,9.7,stimuli/audio/lw1_0.wav,33.206,0.3500000000000014,2000-01-01 00:00:00+00:00,,1.0,sentence,15.0,205.0,Allison,1.0,against,True
175,lw1,0.0,0.0,word,10.05,stimuli/audio/lw1_0.wav,33.556,0.1399999999999988,2000-01-01 00:00:00+00:00,,1.0,sentence,16.0,205.0,Allison,1.0,her,True
178,lw1,0.0,0.0,word,10.19,stimuli/audio/lw1_0.wav,33.696,0.3900000000000005,2000-01-01 00:00:00+00:00,,1.0,sentence,17.0,205.0,Allison,1.0,nose,True
182,lw1,0.0,0.0,word,10.74,stimuli/audio/lw1_0.wav,34.246,0.1999999999999993,2000-01-01 00:00:00+00:00,,1.0,sentence,18.0,205.0,Allison,1.0,but,True
186,lw1,0.0,0.0,word,10.94,stimuli/audio/lw1_0.wav,34.446,0.1699999999999999,2000-01-01 00:00:00+00:00,,1.0,sentence,19.0,205.0,Allison,1.0,she,True
189,lw1,0.0,0.0,word,11.11,stimuli/audio/lw1_0.wav,34.616,0.3000000000000007,2000-01-01 00:00:00+00:00,,1.0,sentence,20.0,205.0,Allison,1.0,ignored,True
196,lw1,0.0,0.0,word,11.41,stimuli/audio/lw1_0.wav,34.916,0.1600000000000001,2000-01-01 00:00:00+00:00,,1.0,sentence,21.0,205.0,Allison,1.0,it,True
198,lw1,0.0,0.0,word,11.889999,stimuli/audio/lw1_0.wav,35.396,0.1100000000000012,2000-01-01 00:00:00+00:00,,2.0,sentence,0.0,145.0,Allison,1.0,A,True
201,lw1,0.0,0.0,word,12.0,stimuli/audio/lw1_0.wav,35.506,0.4700000000000006,2000-01-01 00:00:00+00:00,,2.0,sentence,1.0,145.0,Allison,1.0,gasp,True
206,lw1,0.0,0.0,word,12.48,stimuli/audio/lw1_0.wav,35.986,0.2699999999999996,2000-01-01 00:00:00+00:00,,2.0,sentence,2.0,145.0,Allison,1.0,from,True
211,lw1,0.0,0.0,word,12.75,stimuli/audio/lw1_0.wav,36.256,0.1300000000000007,2000-01-01 00:00:00+00:00,,2.0,sentence,3.0,145.0,Allison,1.0,the,True
214,lw1,0.0,0.0,word,12.88,stimuli/audio/lw1_0.wav,36.386,0.5399999999999991,2000-01-01 00:00:00+00:00,,2.0,sentence,4.0,145.0,Allison,1.0,psychic,True
220,lw1,0.0,0.0,word,13.42,stimuli/audio/lw1_0.wav,36.926,0.3200000000000003,2000-01-01 00:00:00+00:00,,2.0,sentence,5.0,145.0,Allison,1.0,broke,True
225,lw1,0.0,0.0,word,13.75,stimuli/audio/lw1_0.wav,37.256,0.1999999999999993,2000-01-01 00:00:00+00:00,,2.0,sentence,6.0,145.0,Allison,1.0,her,True
228,lw1,0.0,0.0,word,13.95,stimuli/audio/lw1_0.wav,37.456,0.5899999999999999,2000-01-01 00:00:00+00:00,,2.0,sentence,7.0,145.0,Allison,1.0,silent,True
235,lw1,0.0,0.0,word,14.559999,stimuli/audio/lw1_0.wav,38.066,0.5200000000000014,2000-01-01 00:00:00+00:00,,2.0,sentence,8.0,145.0,Allison,1.0,vigil,True
241,lw1,0.0,0.0,word,15.299999,stimuli/audio/lw1_0.wav,38.806,0.2100000000000008,2000-01-01 00:00:00+00:00,,2.0,sentence,9.0,145.0,Allison,1.0,and,True
245,lw1,0.0,0.0,word,15.509999,stimuli/audio/lw1_0.wav,39.016,0.1999999999999993,2000-01-01 00:00:00+00:00,,2.0,sentence,10.0,145.0,Allison,1.0,she,True
248,lw1,0.0,0.0,word,15.71,stimuli/audio/lw1_0.wav,39.216,0.5799999999999983,2000-01-01 00:00:00+00:00,,2.0,sentence,11.0,145.0,Allison,1.0,turned,True
253,lw1,0.0,0.0,word,16.59,stimuli/audio/lw1_0.wav,40.096,0.7300000000000004,2000-01-01 00:00:00+00:00,,3.0,sentence,0.0,145.0,Allison,1.0,Results,True
261,lw1,0.0,0.0,word,17.58,stimuli/audio/lw1_0.wav,41.086,0.5300000000000011,2000-01-01 00:00:00+00:00,,3.0,sentence,1.0,145.0,Allison,1.0,Harmon,True
268,lw1,0.0,0.0,word,18.37,stimuli/audio/lw1_0.wav,41.876,0.2300000000000004,2000-01-01 00:00:00+00:00,,3.0,sentence,2.0,145.0,Allison,1.0,she,True
271,lw1,0.0,0.0,word,18.6,stimuli/audio/lw1_0.wav,42.106,0.6099999999999994,2000-01-01 00:00:00+00:00,,3.0,sentence,3.0,145.0,Allison,1.0,suppressed,True
279,lw1,0.0,0.0,word,19.22,stimuli/audio/lw1_0.wav,42.726,0.1600000000000001,2000-01-01 00:00:00+00:00,,3.0,sentence,4.0,145.0,Allison,1.0,the,True
282,lw1,0.0,0.0,word,19.38,stimuli/audio/lw1_0.wav,42.886,0.2800000000000011,2000-01-01 00:00:00+00:00,,3.0,sentence,5.0,145.0,Allison,1.0,surge,True
286,lw1,0.0,0.0,word,19.66,stimuli/audio/lw1_0.wav,43.166,0.1400000000000005,2000-01-01 00:00:00+00:00,,3.0,sentence,6.0,145.0,Allison,1.0,of,True
289,lw1,0.0,0.0,word,19.8,stimuli/audio/lw1_0.wav,43.306,0.6099999999999994,2000-01-01 00:00:00+00:00,,3.0,sentence,7.0,145.0,Allison,1.0,annoyance,True
296,lw1,0.0,0.0,word,20.43,stimuli/audio/lw1_0.wav,43.936,0.1900000000000012,2000-01-01 00:00:00+00:00,,3.0,sentence,8.0,145.0,Allison,1.0,that,True
300,lw1,0.0,0.0,word,20.62,stimuli/audio/lw1_0.wav,44.126,0.3499999999999978,2000-01-01 00:00:00+00:00,,3.0,sentence,9.0,145.0,Allison,1.0,ran,True
304,lw1,0.0,0.0,word,20.98,stimuli/audio/lw1_0.wav,44.486,0.2300000000000004,2000-01-01 00:00:00+00:00,,3.0,sentence,10.0,145.0,Allison,1.0,through,True
308,lw1,0.0,0.0,word,21.21,stimuli/audio/lw1_0.wav,44.716,0.1799999999999997,2000-01-01 00:00:00+00:00,,3.0,sentence,11.0,145.0,Allison,1.0,her,True
311,lw1,0.0,0.0,word,21.39,stimuli/audio/lw1_0.wav,44.896,0.120000000000001,2000-01-01 00:00:00+00:00,,3.0,sentence,12.0,145.0,Allison,1.0,as,True
314,lw1,0.0,0.0,word,21.51,stimuli/audio/lw1_0.wav,45.016,0.2199999999999988,2000-01-01 00:00:00+00:00,,3.0,sentence,13.0,145.0,Allison,1.0,she,True
317,lw1,0.0,0.0,word,21.73,stimuli/audio/lw1_0.wav,45.236,1.0700000000000005,2000-01-01 00:00:00+00:00,,3.0,sentence,14.0,145.0,Allison,1.0,contemplated,True
330,lw1,0.0,0.0,word,22.8,stimuli/audio/lw1_0.wav,46.306,0.120000000000001,2000-01-01 00:00:00+00:00,,3.0,sentence,15.0,145.0,Allison,1.0,the,True
333,lw1,0.0,0.0,word,23.39,stimuli/audio/lw1_0.wav,46.896,0.3399999999999998,2000-01-01 00:00:00+00:00,,3.0,sentence,18.0,145.0,Allison,1.0,gift,True
338,lw1,0.0,0.0,word,23.74,stimuli/audio/lw1_0.wav,47.246,0.1700000000000017,2000-01-01 00:00:00+00:00,,3.0,sentence,19.0,145.0,Allison,1.0,of,True
341,lw1,0.0,0.0,word,23.91,stimuli/audio/lw1_0.wav,47.416,0.3999999999999986,2000-01-01 00:00:00+00:00,,3.0,sentence,20.0,145.0,Allison,1.0,getting,True
347,lw1,0.0,0.0,word,24.31,stimuli/audio/lw1_0.wav,47.816,0.1900000000000012,2000-01-01 00:00:00+00:00,,3.0,sentence,21.0,145.0,Allison,1.0,all,True
350,lw1,0.0,0.0,word,24.5,stimuli/audio/lw1_0.wav,48.006,0.120000000000001,2000-01-01 00:00:00+00:00,,3.0,sentence,22.0,145.0,Allison,1.0,the,True
353,lw1,0.0,0.0,word,24.63,stimuli/audio/lw1_0.wav,48.136,0.3300000000000018,2000-01-01 00:00:00+00:00,,3.0,sentence,23.0,145.0,Allison,1.0,hot,True
357,lw1,0.0,0.0,word,24.96,stimuli/audio/lw1_0.wav,48.466,0.2899999999999991,2000-01-01 00:00:00+00:00,,3.0,sentence,24.0,145.0,Allison,1.0,news,True
361,lw1,0.0,0.0,word,25.25,stimuli/audio/lw1_0.wav,48.756,0.7199999999999989,2000-01-01 00:00:00+00:00,,3.0,sentence,25.0,145.0,Allison,1.0,first,True
366,lw1,0.0,0.0,word,27.49,stimuli/audio/lw1_0.wav,50.996,0.3300000000000018,2000-01-01 00:00:00+00:00,,4.0,sentence,2.0,145.0,Allison,1.0,face,True
370,lw1,0.0,0.0,word,27.83,stimuli/audio/lw1_0.wav,51.336,0.6000000000000014,2000-01-01 00:00:00+00:00,,4.0,sentence,3.0,145.0,Allison,1.0,slowly,True
376,lw1,0.0,0.0,word,28.429999,stimuli/audio/lw1_0.wav,51.936,0.7600000000000016,2000-01-01 00:00:00+00:00,,4.0,sentence,4.0,145.0,Allison,1.0,animated,True
385,lw1,0.0,0.0,word,29.429999,stimuli/audio/lw1_0.wav,52.936,0.3500000000000014,2000-01-01 00:00:00+00:00,,4.0,sentence,5.0,145.0,Allison,1.0,joy,True
388,lw1,0.0,0.0,word,29.78,stimuli/audio/lw1_0.wav,53.286,0.5899999999999999,2000-01-01 00:00:00+00:00,,4.0,sentence,6.0,145.0,Allison,1.0,sweeping,True
395,lw1,0.0,0.0,word,30.37,stimuli/audio/lw1_0.wav,53.876,0.1600000000000001,2000-01-01 00:00:00+00:00,,4.0,sentence,7.0,145.0,Allison,1.0,in,True
398,lw1,0.0,0.0,word,31.049999,stimuli/audio/lw1_0.wav,54.556,0.1400000000000005,2000-01-01 00:00:00+00:00,,4.0,sentence,8.0,145.0,Allison,1.0,to,True
401,lw1,0.0,0.0,word,31.19,stimuli/audio/lw1_0.wav,54.696,0.4599999999999973,2000-01-01 00:00:00+00:00,,4.0,sentence,9.0,145.0,Allison,1.0,replace,True
408,lw1,0.0,0.0,word,31.66,stimuli/audio/lw1_0.wav,55.166,0.379999999999999,2000-01-01 00:00:00+00:00,,4.0,sentence,10.0,145.0,Allison,1.0,stern,True
413,lw1,0.0,0.0,word,32.04,stimuli/audio/lw1_0.wav,55.546,1.25,2000-01-01 00:00:00+00:00,,4.0,sentence,11.0,145.0,Allison,1.0,concentration,True
426,lw1,0.0,0.0,word,34.449999,stimuli/audio/lw1_0.wav,57.956,0.3500000000000014,2000-01-01 00:00:00+00:00,,5.0,sentence,1.0,145.0,Allison,1.0,says,True
430,lw1,0.0,0.0,word,34.799999,stimuli/audio/lw1_0.wav,58.306,0.1199999999999974,2000-01-01 00:00:00+00:00,,5.0,sentence,2.0,145.0,Allison,1.0,the,True
433,lw1,0.0,0.0,word,38.74,stimuli/audio/lw1_0.wav,62.246,0.4399999999999977,2000-01-01 00:00:00+00:00,,5.0,sentence,3.0,145.0,Allison,1.0,planet,True
440,lw1,0.0,0.0,word,39.24,stimuli/audio/lw1_0.wav,62.746,0.4399999999999977,2000-01-01 00:00:00+00:00,,6.0,word_list,4.0,145.0,Allison,1.0,tiny,True
445,lw1,0.0,0.0,word,39.68,stimuli/audio/lw1_0.wav,63.186,0.3299999999999983,2000-01-01 00:00:00+00:00,,6.0,word_list,5.0,145.0,Allison,1.0,away,True
449,lw1,0.0,0.0,word,40.01,stimuli/audio/lw1_0.wav,63.516,1.1099999999999994,2000-01-01 00:00:00+00:00,,6.0,word_list,6.0,145.0,Allison,1.0,contemplated,True
462,lw1,0.0,0.0,word,41.12,stimuli/audio/lw1_0.wav,64.626,0.1300000000000025,2000-01-01 00:00:00+00:00,,6.0,word_list,7.0,145.0,Allison,1.0,to,True
465,lw1,0.0,0.0,word,41.25,stimuli/audio/lw1_0.wav,64.756,0.2999999999999971,2000-01-01 00:00:00+00:00,,6.0,word_list,8.0,145.0,Allison,1.0,not,True
469,lw1,0.0,0.0,word,41.56,stimuli/audio/lw1_0.wav,65.066,0.4099999999999966,2000-01-01 00:00:00+00:00,,6.0,word_list,9.0,145.0,Allison,1.0,blonde,True
475,lw1,0.0,0.0,word,42.3,stimuli/audio/lw1_0.wav,65.806,0.490000000000002,2000-01-01 00:00:00+00:00,,6.0,word_list,11.0,145.0,Allison,1.0,slowly,True
481,lw1,0.0,0.0,word,42.79,stimuli/audio/lw1_0.wav,66.296,0.3200000000000003,2000-01-01 00:00:00+00:00,,6.0,word_list,12.0,145.0,Allison,1.0,broke,True
486,lw1,0.0,0.0,word,43.12,stimuli/audio/lw1_0.wav,66.626,0.2000000000000028,2000-01-01 00:00:00+00:00,,6.0,word_list,13.0,145.0,Allison,1.0,by,True
489,lw1,0.0,0.0,word,44.91,stimuli/audio/lw1_0.wav,68.416,0.5500000000000043,2000-01-01 00:00:00+00:00,,7.0,sentence,0.0,145.0,Allison,1.0,Thriving,True
496,lw1,0.0,0.0,word,45.46,stimuli/audio/lw1_0.wav,68.966,0.1799999999999997,2000-01-01 00:00:00+00:00,,7.0,sentence,1.0,145.0,Allison,1.0,with,True
500,lw1,0.0,0.0,word,45.65,stimuli/audio/lw1_0.wav,69.156,0.4100000000000037,2000-01-01 00:00:00+00:00,,7.0,sentence,2.0,145.0,Allison,1.0,life,True
504,lw1,0.0,0.0,word,46.78,stimuli/audio/lw1_0.wav,70.286,0.4499999999999957,2000-01-01 00:00:00+00:00,,7.0,sentence,3.0,145.0,Allison,1.0,large,True
509,lw1,0.0,0.0,word,47.23,stimuli/audio/lw1_0.wav,70.736,0.2200000000000059,2000-01-01 00:00:00+00:00,,7.0,sentence,4.0,145.0,Allison,1.0,and,True
513,lw1,0.0,0.0,word,47.45,stimuli/audio/lw1_0.wav,70.956,0.3999999999999986,2000-01-01 00:00:00+00:00,,7.0,sentence,5.0,145.0,Allison,1.0,small,True
518,lw1,0.0,0.0,word,47.849999,stimuli/audio/lw1_0.wav,71.356,0.730000000000004,2000-01-01 00:00:00+00:00,,7.0,sentence,6.0,145.0,Allison,1.0,forms,True
524,lw1,0.0,0.0,word,48.809999,stimuli/audio/lw1_0.wav,72.316,0.2700000000000031,2000-01-01 00:00:00+00:00,,7.0,sentence,7.0,145.0,Allison,1.0,no,True
527,lw1,0.0,0.0,word,49.099999,stimuli/audio/lw1_0.wav,72.606,0.6000000000000014,2000-01-01 00:00:00+00:00,,7.0,sentence,8.0,145.0,Allison,1.0,buildings,True
535,lw1,0.0,0.0,word,49.7,stimuli/audio/lw1_0.wav,73.206,0.1599999999999966,2000-01-01 00:00:00+00:00,,7.0,sentence,9.0,145.0,Allison,1.0,of,True
538,lw1,0.0,0.0,word,49.86,stimuli/audio/lw1_0.wav,73.366,0.2700000000000031,2000-01-01 00:00:00+00:00,,7.0,sentence,10.0,145.0,Allison,1.0,any,True
542,lw1,0.0,0.0,word,50.13,stimuli/audio/lw1_0.wav,73.636,0.6199999999999974,2000-01-01 00:00:00+00:00,,7.0,sentence,11.0,145.0,Allison,1.0,kind,True
547,lw1,0.0,0.0,word,52.469999,stimuli/audio/lw1_0.wav,75.976,0.6700000000000017,2000-01-01 00:00:00+00:00,,7.0,sentence,13.0,145.0,Allison,1.0,metals,True
554,lw1,0.0,0.0,word,53.369999,stimuli/audio/lw1_0.wav,76.876,0.2299999999999968,2000-01-01 00:00:00+00:00,,7.0,sentence,14.0,145.0,Allison,1.0,and,True
558,lw1,0.0,0.0,word,53.67,stimuli/audio/lw1_0.wav,77.176,0.519999999999996,2000-01-01 00:00:00+00:00,,7.0,sentence,16.0,145.0,Allison,1.0,stable,True
565,lw1,0.0,0.0,word,54.190001,stimuli/audio/lw1_0.wav,77.696,0.9499999999999956,2000-01-01 00:00:00+00:00,,7.0,sentence,17.0,145.0,Allison,1.0,atmosphere,True
574,lw1,0.0,0.0,word,55.660001,stimuli/audio/lw1_0.wav,79.166,0.0799999999999983,2000-01-01 00:00:00+00:00,,8.0,word_list,0.0,145.0,Allison,1.0,excellent,True
583,lw1,0.0,0.0,word,55.740001,stimuli/audio/lw1_0.wav,79.246,0.0399999999999991,2000-01-01 00:00:00+00:00,,8.0,word_list,1.0,145.0,Allison,1.0,onto,True
588,lw1,0.0,0.0,word,55.780001,stimuli/audio/lw1_0.wav,79.286,0.0200000000000031,2000-01-01 00:00:00+00:00,,8.0,word_list,2.0,145.0,Allison,1.0,the,True
591,lw1,0.0,0.0,word,58.0,stimuli/audio/lw1_0.wav,81.506,0.3299999999999983,2000-01-01 00:00:00+00:00,,8.0,word_list,5.0,145.0,Allison,1.0,only,True
596,lw1,0.0,0.0,word,58.84,stimuli/audio/lw1_0.wav,82.346,0.25,2000-01-01 00:00:00+00:00,,8.0,word_list,7.0,145.0,Allison,1.0,head,True
600,lw1,0.0,0.0,word,59.09,stimuli/audio/lw1_0.wav,82.596,0.4099999999999966,2000-01-01 00:00:00+00:00,,8.0,word_list,8.0,145.0,Allison,1.0,planet,True
607,lw1,0.0,0.0,word,59.55,stimuli/audio/lw1_0.wav,83.056,0.5,2000-01-01 00:00:00+00:00,,8.0,word_list,9.0,145.0,Allison,1.0,pointed,True
614,lw1,0.0,0.0,word,60.12,stimuli/audio/lw1_0.wav,83.626,0.5900000000000034,2000-01-01 00:00:00+00:00,,8.0,word_list,11.0,145.0,Allison,1.0,blackness,True
622,lw1,0.0,0.0,word,60.72,stimuli/audio/lw1_0.wav,84.226,0.25,2000-01-01 00:00:00+00:00,,8.0,word_list,12.0,145.0,Allison,1.0,now,True
625,lw1,0.0,0.0,word,60.97,stimuli/audio/lw1_0.wav,84.476,0.2199999999999988,2000-01-01 00:00:00+00:00,,8.0,word_list,13.0,145.0,Allison,1.0,get,True
629,lw1,0.0,0.0,word,61.22,stimuli/audio/lw1_0.wav,84.726,0.5200000000000031,2000-01-01 00:00:00+00:00,,8.0,word_list,14.0,145.0,Allison,1.0,gentle,True
636,lw1,0.0,0.0,word,61.74,stimuli/audio/lw1_0.wav,85.246,0.6699999999999946,2000-01-01 00:00:00+00:00,,8.0,word_list,15.0,145.0,Allison,1.0,imposing,True
644,lw1,0.0,0.0,word,62.41,stimuli/audio/lw1_0.wav,85.916,0.5100000000000051,2000-01-01 00:00:00+00:00,,8.0,word_list,16.0,145.0,Allison,1.0,alpha,True
649,lw1,0.0,0.0,word,68.42,stimuli/audio/lw1_0.wav,91.926,0.2000000000000028,2000-01-01 00:00:00+00:00,,9.0,sentence,0.0,145.0,Allison,1.0,He,True
652,lw1,0.0,0.0,word,68.62,stimuli/audio/lw1_0.wav,92.126,0.2999999999999971,2000-01-01 00:00:00+00:00,,10.0,sentence,1.0,145.0,Allison,1.0,says,True
656,lw1,0.0,0.0,word,68.92,stimuli/audio/lw1_0.wav,92.426,0.1899999999999977,2000-01-01 00:00:00+00:00,,10.0,sentence,2.0,145.0,Allison,1.0,we,True
659,lw1,0.0,0.0,word,69.11,stimuli/audio/lw1_0.wav,92.616,0.3100000000000023,2000-01-01 00:00:00+00:00,,10.0,sentence,3.0,145.0,Allison,1.0,should,True
663,lw1,0.0,0.0,word,69.42,stimuli/audio/lw1_0.wav,92.926,0.2300000000000039,2000-01-01 00:00:00+00:00,,10.0,sentence,4.0,145.0,Allison,1.0,come,True
667,lw1,0.0,0.0,word,69.94,stimuli/audio/lw1_0.wav,93.446,0.3799999999999954,2000-01-01 00:00:00+00:00,,10.0,sentence,6.0,145.0,Allison,1.0,now,True
670,lw1,0.0,0.0,word,70.529999,stimuli/audio/lw1_0.wav,94.036,0.9299999999999926,2000-01-01 00:00:00+00:00,,10.0,sentence,7.0,145.0,Allison,1.0,immediately,True
680,lw1,0.0,0.0,word,71.67,stimuli/audio/lw1_0.wav,95.176,0.480000000000004,2000-01-01 00:00:00+00:00,,10.0,sentence,8.0,145.0,Allison,1.0,before,True
686,lw1,0.0,0.0,word,72.15,stimuli/audio/lw1_0.wav,95.656,0.1199999999999903,2000-01-01 00:00:00+00:00,,10.0,sentence,9.0,145.0,Allison,1.0,the,True
689,lw1,0.0,0.0,word,72.27,stimuli/audio/lw1_0.wav,95.776,0.3900000000000005,2000-01-01 00:00:00+00:00,,10.0,sentence,10.0,145.0,Allison,1.0,probe,True
694,lw1,0.0,0.0,word,72.66,stimuli/audio/lw1_0.wav,96.166,0.1800000000000068,2000-01-01 00:00:00+00:00,,10.0,sentence,11.0,145.0,Allison,1.0,is,True
697,lw1,0.0,0.0,word,72.84,stimuli/audio/lw1_0.wav,96.346,0.5900000000000034,2000-01-01 00:00:00+00:00,,10.0,sentence,12.0,145.0,Allison,1.0,reported,True
706,lw1,0.0,0.0,word,73.43,stimuli/audio/lw1_0.wav,96.936,0.4099999999999966,2000-01-01 00:00:00+00:00,,10.0,sentence,13.0,145.0,Allison,1.0,late,True
